web_scraper_order,web_scraper_start_url,pages,links,title,origin,date,medium,provenance,image_url
1773369482-1,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/898694,"Drawings for a ""Sphinx"" and ""Victoria""; by Fernand Khnopff",Fernand Khnopff Belgian,1889–92,Medium: Compressed charcoal and white pencil on gray-blue paper,"Madame Landuyt, Dendermonde (Termonde), Belgium (by 1979); Etienne Taymans, Brussels (by 1987); [Patrick Derom Gallery, Brussels, by 2011]; private collection, Belgium; sale, Christie’s Paris, March 22, 2023, no. 93, to the present owner",
1773369489-2,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/742694,Study of Babouches; by Eugene Delacrois,Eugène Delacroix French,ca. 1823–24,Medium: Oil on cardboard,,
1773369496-3,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/702568,The Sea at Dieppe; by Eugène Delacroix,Eugène Delacroix French,1852,"Medium: Oil on cardboard, laid down on wood",,
1773369503-4,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/442851,Shipwreck; by Jean Pillement,Jean Pillement French,Not on view,Dimensions: Frame: 25 1/2 × 31 1/2 × 2 in. (64.8 × 80 × 5.1 cm),,
1773369510-5,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/442843,Shipwreck; by Jean Pillement,Jean Pillement French,Not on view,Dimensions: Frame: 25 1/2 × 31 1/2 × 2 in. (64.8 × 80 × 5.1 cm),,
1773369520-6,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/824579,Henri IV’s Bedchamber at the Château de La Roche-Guyon; by Richard Parkes Bonington,Richard Parkes Bonington British,ca. 1825,Medium: Oil on millboard,"Bonington sale, Sotheby's, London, June 29–30, 1829, no. 56 or 167, both to Colnaghi; [Colnaghi, London, from 1829]; ?George James Welbore Agar-Ellis, 1st Baron Dover; by descent to Henry George Agar, 4th Viscount Clifden (until 1893; sale, Christie's, London, May 6, 1893, no. 1); [Messrs. Wallis and Son, French Gallery, London, until 1898; sale, Christie's, London, November 18–19, 1898, no. 126, to Sampson]; Sampson (from 1898); anonymous (until 1902; sale, Christie's, London, July 26, 1902, no. 53); anonymous (until 1981; sale, Sotheby's, December 9, 1981, no. 203, to Feigen); Richard L. Feigen, New York (1981–2018; to private collection); private collection (from 2018)",
1773369529-7,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/811422,The Distribution of the Eagles; by Jacques Louis David,Jacques Louis David French,ca. 1809–10,"Medium: Oil over black chalk, on paper laid down on canvas","private collection, France; sale, Millon & Associés, Hôtel Drouot, Paris, March 22, 2017, no. 53, as “French school, nineteenth century, entourage of Jacques Louis David”; [art market, Paris, 2017; to private collection]; private collection, London (from 2017); private collection (by 2019; sale, Christie's, New York, May 1, 2019, no. 45, as ""The Distribution of the Eagle Standards,"" to Xike Jiulu Collection); Xike Jiulu Collection (from 2019)",
1773369538-8,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/439272,Study of a Boy in a Blue Jacket; by Benedetto Luti,Benedetto Luti Italian,1717,"Medium: Pastel and chalk on blue laid paper, laid down on paste paper","[Hampton & Sons, London]; Elizabeth Huth Coates, San Antonio (until d. 1996); her son and daughter-in-law, Mr. and Mrs. Arthur Stieren, San Antonio (1996–2000; sale, Christie's, London, July 4, 2000, no. 125, for £32,900 to Brady); [W. M. Brady, New York, 2000–2007; sale Sotheby's, New York, May 27, 2004, no. 9,  withdrawn; sold to The Met]",https://collectionapi.metmuseum.org/api/collection/v1/iiif/439272/795075/main-image
1773369548-9,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/839044,Gudvangen; by Thomas Fearnley,Thomas Fearnley Norwegian,1839,"Medium: Oil on paper, laid down on wood","the artist's son, Thomas Fearnley, Oslo (until d. 1927); by descent through his family (from 1927; sold to Sveaas); Christen Sveaas, Oslo (until 2020)",https://collectionapi.metmuseum.org/api/collection/v1/iiif/839044/1995107/main-image
1773369557-10,https://www.metmuseum.org/art/collection/search?department=European+Paintings&material=Paper&offset=0,,https://www.metmuseum.org/art/collection/search/747559,"Male Academy Figure: Half-Length, Side View; by Eugène DELACROIX",Eugène Delacroix French,ca. 1818–20,Medium: Oil on paper laid down on panel (formerly canvas),"the artist (until d. 1863; his estate sale, Hôtel Drouot, Paris, February 17–29, 1864, part of no. 200; sold to Thoré); Théophile Thoré (from 1864); ?H[enri?] Vever; [A. Vullier, Paris, until 1897; sold in February to Mercier]; Monsieur Mercier, Lausanne (from 1897); by descent to H.E. Lombardet, Lausanne (until 1966; his sale, Lausanne, February 3, 1966); C[onstantin A.]. Sfezzo, Lausanne (until 1987; sale, Christie's, London, November 27, 1987, no. 51, to Jane Roberts Fine Arts); [Jane Roberts Fine Arts, London, 1987–88; sold to Cohen]; Karen B. Cohen, New York (1988–2024)",https://collectionapi.metmuseum.org/api/collection/v1/iiif/747559/1869986/main-image
